,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,bidavg,askavg
0,0,0,AMETHYSTS,9998,1,9995.0,30.0,0.0,0.0,10005,30,0.0,0.0,0.0,0.0,10001.5,0.0,9995.09677419355,10005.0
1,0,0,STARFRUIT,5036,30,0.0,0.0,0.0,0.0,5043,30,0.0,0.0,0.0,0.0,5039.5,0.0,5036.0,5043.0
2,0,100,AMETHYSTS,9996,1,9995.0,30.0,0.0,0.0,10002,6,10004.0,1.0,10005.0,30.0,9999.0,0.0,9995.032258064517,10004.486486486487
3,0,100,STARFRUIT,5041,4,5037.0,1.0,5036.0,30.0,5043,31,0.0,0.0,0.0,0.0,5042.0,0.0,5036.6,5043.0
4,0,200,AMETHYSTS,9996,1,9995.0,21.0,0.0,0.0,10004,1,10005.0,21.0,0.0,0.0,10000.0,0.0,9995.045454545454,10004.954545454546
5,0,200,STARFRUIT,5037,1,5036.0,21.0,0.0,0.0,5043,1,5044.0,21.0,0.0,0.0,5040.0,0.0,5036.045454545455,5043.954545454545
6,0,300,STARFRUIT,5037,25,0.0,0.0,0.0,0.0,5044,25,0.0,0.0,0.0,0.0,5040.5,0.0,5037.0,5044.0
7,0,300,AMETHYSTS,9996,2,9995.0,23.0,0.0,0.0,9998,3,10004.0,2.0,10005.0,23.0,9997.0,0.0,9995.08,10004.17857142857
8,0,400,AMETHYSTS,9998,5,9996.0,2.0,9995.0,23.0,10004,2,10005.0,23.0,0.0,0.0,10001.0,0.0,9995.566666666668,10004.92
9,0,400,STARFRUIT,5037,25,0.0,0.0,0.0,0.0,5042,6,5044.0,25.0,0.0,0.0,5039.5,0.0,5037.0,5043.612903225807
10,0,500,AMETHYSTS,10002,1,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,0.0,0.0,10003.0,0.0,9995.36,10004.916666666666
11,0,500,STARFRUIT,5037,24,0.0,0.0,0.0,0.0,5044,24,0.0,0.0,0.0,0.0,5040.5,0.0,5037.0,5044.0
12,0,600,AMETHYSTS,9996,2,9995.0,24.0,0.0,0.0,10002,9,10004.0,2.0,10005.0,24.0,9999.0,0.0,9995.076923076924,10004.171428571428
13,0,600,STARFRUIT,5037,26,0.0,0.0,0.0,0.0,5044,26,0.0,0.0,0.0,0.0,5040.5,0.0,5037.0,5044.0
14,0,700,STARFRUIT,5037,5,5036.0,27.0,0.0,0.0,5043,27,0.0,0.0,0.0,0.0,5040.0,0.0,5036.15625,5043.0
